Number,Photo Series,Time,Easting,Northing,Notes,Theme
34,UB-1 to 5,12:17:24,651142,6029782,Helicopter hanger,Other
35,UB-6,12:17:35,651145,6029783,Above hanger,Other
36,UB-7 to 11,13:13:51,655753,6034037,Upstream floodplain,Floodplain
37,UB-12 to 25,13:14:15,656263,6034756,Floodplain/railway,Floodplain
38,UB-26 to 40,13:14:36,656802,6035246,Disconnected floodplain,Floodplain
39,UB-41 to 56,13:16:07,659412,6036188,Riparian loss - Field to river,Agriculture
40,UB-57 to 58,13:16:43,660202,6036794,Forest removal - slash piles,Forestry
41,UB-59 to 64,13:17:16,660839,6037624,Disconnected floodplain,Floodplain
42,UB-65 to 74,13:17:51,661597,6038300,Cattle farm,Agriculture
43,UB-75 to 81,13:19:00,662959,6039601,Hay field,Agriculture
44,UB-82 to 88,13:19:37,662892,6040706,Floodplain loss to Hwy/rail,Floodplain
45,UB-89 to 91,13:20:36,663515,6042344,Backchannel cutoff,Other
46,UB-92 to 93,13:21:19,664256,6043397,Hay field,Agriculture
47,UB-94 to 103,13:22:29,666027,6043735,Hay field,Agriculture
48,UB-104 to 106,13:23:10,667123,6043706,Floodplain loss to rail,Floodplain
49,UB-107,13:24:06,668607,6043932,Rail impediment at Oxbows,Railway
50,UB-107,13:24:52,669825,6044009,Rail crossing,Stream Crossing
51,UB-108,13:25:17,670482,6043704,Floodplain loss to rail,Floodplain
52,UB-109 to 120,13:26:15,672259,6043155,"Backchannel cutoff by rail, field to river",Railway
53,UB-121,13:27:10,674085,6042903,Topley rail crossing,Stream Crossing
54,UB-122 to 132,13:27:43,674810,6042145,Field to river,Agriculture
55,UB-133 to 142,13:28:26,675972,6042137,Floodplain loss to rail,Floodplain
56,UB-143 to 144,13:28:54,676499,6041543,Floodplain loss to rail,Floodplain
57,UB-145 to 153,13:29:34,677448,6040835,Floodplain loss to rail,Floodplain
58,UB-154 to 164,13:30:40,677958,6038866,New rail double track,Railway
59,UB-165 to 169,13:31:51,679597,6037220,Rail crossing,Stream Crossing
60,UB-170 to 174,13:32:21,680465,6036862,Hay fields,Agriculture
61,UB-175,13:33:21,681046,6035306,Clearcut,Forestry
62,UB-176 to 182,13:34:12,680961,6033872,Intact section,Other
63,UB-183 to 194,13:34:47,681638,6032905,Forestdale road,Forestry
64,UB-195 to 199,13:35:40,683201,6032161,Straumbold farm downstream,Other
65,UB-200 to 211,13:37:05,685413,6030472,Bulkley Lake outlet,Other
66,UB-212 to 223,13:38:29,686021,6029364,Hay field to maxan,Agriculture
67,UB-224 to 227,13:40:26,683888,6026908,maxan cutblock,Forestry
68,UB-228 to 231,13:41:16,683875,6025320,maxan cutblock,Forestry
70,UB-233,13:42:53,686279,6024057,road crossing,Stream Crossing
71,UB-234 to 236,13:44:41,687177,6023224,Maxan lake,Other
72,UB-237 to 241,13:45:09,686813,6022650,Foxy creek cutblock,Forestry
73,UB-242 to 245,13:47:37,686860,6022124,Foxy creek cutblock,Forestry
74,UB-239 to 256,13:48:44,686992,6023133,foxy/maxan confluence,Other
75,UB-257,13:49:59,686614,6023770,road crossing,Stream Crossing
76,UB-258,13:50:32,686210,6024130,hay field to creek,Agriculture
77,UB-259 to 261,13:51:59,685466,6024649,maxan beaver dam,Beaver
78,UB-262 to 264,13:53:09,685237,6024844,field to river-log jam,Agriculture
79,UB-265 to 270,13:54:18,684348,6024997,Beaver dam,Beaver
80,UB-271 to 274,13:56:04,683932,6026032,beaver dam/breach,Beaver
81,UB-275 to 282,13:57:42,683762,6026942,land slide,Other
82,UB-283 to 285,13:59:09,683917,6027487,hay field / jam,Agriculture
83,UB-286 to 290,13:59:45,684190,6027906,Beaver activity,Beaver
84,UB-291 to 299,14:00:19,684354,6028189,Hay field,Agriculture
85,UB-300 to 304,14:01:09,684890,6028667,Beaver activity,Beaver
86,UB-305 to 307,14:01:28,685106,6028665,Beaver dam,Beaver
87,UB-308 to 314,14:02:05,685428,6028712,Beaver dam,Beaver
88,UB-315 to 321,14:02:27,685549,6028826,derelict bridge,Stream Crossing
89,UB-322 to 324,14:03:09,685814,6029114,Beaver dam,Beaver
90,UB-325 to 327,14:03:35,685789,6029396,Hay field to maxan,Agriculture
91,UB-328 to 334,14:03:53,686037,6029429,Hay field to maxan,Agriculture
92,UB-335 to 338,14:04:27,686479,6029579,Maxan Lake outlet,Other
93,UB-339 to 341,14:05:35,686187,6030211,Bulkley Lake outlet,Other
94,UB-342 to 356,14:06:06,685785,6030439,Strombould's rail/road crossings,Stream Crossing
95,UB-357 to 362,14:06:37,685310,6030510,rip-rap,Rip-rap
96,UB-363 to 365,14:07:18,685110,6030621,Field to river,Agriculture
97,UB-366 to 369,14:07:47,684926,6031060,rip-rap,Rip-rap
98,UB-370 to 372,14:08:57,684495,6031282,Field to river,Agriculture
99,UB-373 to 383,14:09:47,684008,6031695,Beaver dam/field to river,Agriculture
100,UB-384 to 388,14:10:33,683685,6032076,bridge/hay field,Stream Crossing
101,UB-389 to 395,14:11:22,683002,6032245,rail bridge,Stream Crossing
102,UB-396 to 402,14:12:12,682505,6032418,Rail impediment,Railway
103,UB-403 to 405,14:12:57,682091,6032534,bridge crossing,Stream Crossing
104,UB-406 to 410,14:13:36,681888,6032762,bridge crossing,Stream Crossing
105,UB-411 to 412,14:14:31,681419,6033019,beaver dam,Beaver
106,UB-413 to 415,14:15:02,681137,6033505,beaver dam,Beaver
107,UB-416,14:15:19,681166,6033765,beaver dam,Beaver
108,UB-417,14:16:11,680743,6034552,beaver dam,Beaver
109,UB-418,14:16:37,680933,6034871,beaver dam,Beaver
110,UB-419 to 424,14:17:26,681055,6035312,beaver dam/rail bridge,Stream Crossing
111,UB-425,14:18:15,681362,6035812,Hayfield/power line,Agriculture
113,UB-428 to 430,14:19:08,680861,6036661,hay field to creek,Agriculture
114,UB-431 to 434,14:19:51,680310,6037029,bridge,Stream Crossing
115,UB-435 to 440,14:20:20,679974,6037284,beaver dam,Beaver
116,UB-441 to 444,14:20:49,679961,6037252,bridge and new track,Stream Crossing
117,UB-445,14:21:22,679540,6037279,Beaver dam,Beaver
118,UB-446 to 448,14:21:51,679148,6037507,Beaver dam/rail to river,Railway
119,UB-449 to 453,14:22:17,679010,6037815,Beaver dam,Beaver
120,UB-454 to 455,14:22:39,678774,6038004,Beaver dam,Beaver
121,UB-456 to 459,14:23:20,678295,6038283,Bulkley falls,Other
122,UB-460 to 462,14:24:01,678222,6038509,Beaver dam,Beaver
123,UB-463 to 464,14:24:19,678184,6038767,Log jam,Log jam
124,UB-465 to 466,14:24:37,678104,6039025,Beaver dam,Beaver
125,UB-467,14:25:23,677952,6039499,Hay field,Agriculture
126,UB-468 to 471,14:25:44,677719,6039669,Beaver dam/Spawners,Spawning
127,UB-472,14:26:26,677666,6039852,Beaver dam,Beaver
128,UB-473 to 475,14:26:38,677550,6039878,Beaver dam,Beaver
129,UB-476 to 479,14:27:09,677763,6040152,Rail crossing,Stream Crossing
130,UB-480 to 486,14:27:39,677719,6040526,rip-rap/beaver dam,Beaver
131,UB-487 to 488,14:28:17,677614,6040916,field to river,Agriculture
132,UB-489 to 492,14:28:33,677292,6040997,Rail crossing,Stream Crossing
133,UB-493,14:29:02,676911,6041236,beaver dam,Beaver
134,UB-494 to 496,14:29:13,676801,6041386,rip-rap/beaver dam,Beaver
135,UB-497 to 501,14:29:40,676547,6041728,rail to river,Railway
136,UB-502 to 507,14:30:04,676358,6042030,rail to river,Railway
137,UB-508 to 509,14:30:43,675666,6041986,Spawning salmon,Spawning
138,UB-510 to 511,14:31:12,675177,6042050,field to river/spawners,Spawning
