layer_name_raw,layer_title,layer_description,crs,bbox,attributes,geom_type
geonode:bcce_watershed_summary_poly_2015_20150331_skeena,Aquatic Ecosystems Assessment Units - Skeena,Spatial data for the interim provincial Aquatics Ecosystems protocol. Information on the dataset and attributes is available at http://data.skeenasalmon.info/dataset/cumulative-effects-framework-assessment-protocol-for-aquatic-ecosystems. This layer is themed by wastewater discharge site density and clipped to the Skeena watershed. ,EPSG:3005,,"the_geom, OBJECTID, WATERSHED_, WATERSHED1, WATERSHE_1, GNIS_ID_1, GNIS_NAME_, FWA_WATERS, LOCAL_WATE, WATERSHE_2, WATERSHE_3, WATERSHE_4, AU_Area_ha, AU_Area_km, AU_Area__1, AU_Area__2, LU_VRI_DIS, AU_GROUP_C, Coastal_In, FRESHWATER, RU_ID_NUM, RU_CODE, RU_Name, RU_AREA_HA, AU_RU_over, RU_CODE_Li, RU_count, fown_crown, fown_feder, fown_priva, fown_prote, fown_cro_1, fown_fed_1, fown_pri_1, fown_pro_1, Agricultur, Alpine_Sub, BTM_Logged, Forest_Lan, Fresh_Wate, Glaciers_a, Harvest_19, Harvest_pr, Mining_HA, OilandGas_, Railway_HA, Range_Land, Salt_Water, Seismic_HA, Shrubs_HA, TA_ROW_HA, Transmissi, Urban_HA, Urban_Mixe, Wetlands_E, Agricult_1, Alpine_S_1, BTM_Logg_1, Forest_L_1, Fresh_Wa_1, Glaciers_1, Harvest_20, Harvest__1, Mining_PCN, OilandGas1, Railway_PC, Range_La_1, Salt_Wat_1, Seismic_PC, Shrubs_PCN, TA_ROW_PCN, Transmis_1, Urban_PCNT, Urban_Mi_1, Wetlands_1, Human_Dist, Human_Di_1, Non_Human_, Human_Di_2, Human_Di_3, Non_Human1, TOT_Fire_H, TOT_Insect, TOT_Fire_I, TOT_Fire_P, TOT_Inse_1, TOT_Fire_1, net_Fire_H, net_Insect, net_Fire_I, net_Fire_P, net_Inse_1, net_Fire_1, AU_TOT_Dis, AU_TOT_D_1, AU_TOT_Non, AU_TOT_N_1, AU_TOT_Rd_, AU_TOT_str, Rd_Density, Rd_Densi_1, RdsStrmXin, RdsStrmX_1, RdsStrmX_2, RdsStrmBuf, RdsStrmB_1, RdsStrmB_2, Rd_Length_, RdSlope60_, RdSlope601, Rip_Human_, Rip_Human1, Rip_Natura, Rip_Tot_Hu, Rip_Tot_Al, Rip_Huma_1, Rip_Huma_2, Rip_Natu_1, Rip_Tot__1, Rip_Tot__2, Tot_Rip_No, Tot_Rip__1, ECA_HA, ECA_Unrepo, ECA_PCNT, ECA_Unre_1, ECA_Unre_2, ECA_Final_, POD_Count, POD_Flag, WWDischarg, WWDischa_1, Mine_Point, Mine_Poi_1, Dam_Lines_, Dam_Lines1, Rd_Densi_2, Rd_Densi_3, RdsStrmX_3, RdsStrmX_4, RdsStrmB_3, RdsStrmB_4, RdSlope6_1, RdSlope6_2, Tot_All_Ds, Tot_All__1, ECA_Final1, ECA_Fina_1, HIGH_INDIC, Rd_Densi_4, RdsStrmX_5, RdsStrmB_5, RdSlope6_3, Rip_Tot__3, ECA_Fina_2, Rollup_avg, Rollup_a_1, Rollup_a_2, Water_Quan, Water_Qu_1, Water_Qu_2, Water_Qual, Water_Qu_3, Water_Qu_4, Riparian_a, Riparian_1, Riparian_2, WAP_Rd_Den, WAP_Rd_D_1, WAP_RdsStr, WAP_RdsS_1, WAP_RdsS_2, WAP_RdsS_3, WAP_RdSlop, WAP_RdSl_1, WAP_Tot_Al, WAP_Tot__1, ASSESSMENT, ASSESSED_S, RUN_DATE, ASSESSME_1, Shape_Leng, Shape_Area, Wshd_ID, bcce_watershed_summary_poly_2015_20150331_skeena",gml:MultiSurfacePropertyType
geonode:hydrometric_stns_flnrod_nwbc_2018_09_20,BC Hydrometric Stations - Northwest BC,Provincial hydrometric and water quality station locations from the Aquarius Time-Series database sourced from http://aqrt.nrs.gov.bc.ca/. Layer created by EGIS on 2018-09-20.,EPSG:3153,,"the_geom, STATION_NA, STATION_ID, STATION_TY, LATITUDE, LONGITUDE, PARAMETERS, START_DATE, END_DATE, DATA_INTER, URL, hydrometric_stns_flnrod_nwbc_2018_09_20",gml:PointPropertyType
geonode:BC_Tailings_Database_External_Sharing_Aug2022,BC_Tailings_Database_External_Sharing_Aug2022,No abstract provided,EPSG:3005,,"fid, the_geom, Name, Commodity, Owner, Status, dams, upstream_d, current_st, max_height, capacity, Classifica, Latitude, Longitude, minfile, nearby_set, minor_wate, Principal, salmon_hab, owner_sour, status_sou, dam_source, upstream_s, current_1, height_sou, capacity_s, Classifi_1, gps_source, BC_Tailings_Database_External_Sharing_Aug2022",gml:PointPropertyType
geonode:bec_zones_py_databc_kalum_espg3005_2020_07_311,BEC Zones - Kalum LRMP area,"Layer of the approved provincial Biogeoclimatic Ecosystem Classification (BEC) Zone/Subzone/Variant/Phase map clipped to the Kalum LRMP area. Additional information available at https://catalogue.data.gov.bc.ca/dataset/biogeoclimatic-ecosystem-classification-bec-map. Published by the Ministry of Forests, Lands, Natural Resource Operations and Rural Development - Forest Analysis and Inventory",EPSG:3005,,"the_geom, FTRCLSSSK, ZONE, SUBZONE, VARIANT, PHASE, NTRLDSTRBN, MAP_LABEL, BGC_LABEL, ZONE_NAME, SBZNNM, VRNTNM, PHASE_NAME, NTRLDSTRB1, AREA_SQM, FEAT_LEN, FEAT_AREA, FTRLNGTH, OBJECTID, bec_zones_py_databc_kalum_espg3005_2020_07_311",gml:MultiSurfacePropertyType
geonode:BEC_BuMo_outerBoundary,BEC_BuMo_outerBoundary,No abstract provided,EPSG:3005,,"fid, the_geom, FTRCLSSSK, ZONE, SUBZONE, VARIANT, PHASE, NTRLDSTRBN, MAP_LABEL, BGC_LABEL, ZONE_NAME, SBZNNM, VRNTNM, PHASE_NAME, NTRLDSTRB1, FEAT_LEN, FTRLNGTH, OBJECTID, AREA_NEW, AREA_SQM, AREA_HA, BEC_BuMo_outerBoundary",gml:MultiSurfacePropertyType
geonode:BEC_POLY_skeenaclipped,BEC_POLY_skeenaclipped,No abstract provided,EPSG:3005,,"fid, the_geom, FTRCLSSSK, ZONE, SUBZONE, VARIANT, PHASE, NTRLDSTRBN, MAP_LABEL, BGC_LABEL, ZONE_NAME, SBZNNM, VRNTNM, PHASE_NAME, NTRLDSTRB1, FEAT_LEN, FTRLNGTH, OBJECTID, AREA_SQM, BEC_POLY_skeenaclipped",gml:MultiSurfacePropertyType
geonode:babine_lake_1,Babine Lake Watershed,Boundary of the Babine Lake Watershed based on the BC Freshwater Atlas.,EPSG:3005,,"the_geom, WATERSHED_, WATERSHE_1, WATERSHE_2, AREA_HA, FEATURE_CO, GEOMETRY_L, GEOMETRY_A, babine_lake_1",gml:MultiSurfacePropertyType
geonode:babine_river_1,Babine River Watershed,Boundary of the Babine River Watershed based on the BC Freshwater Atlas.,EPSG:3005,,"the_geom, WATERSHED_, WATERSHE_1, WATERSHE_2, AREA_HA, FEATURE_CO, GEOMETRY_L, GEOMETRY_A, babine_river_1",gml:MultiSurfacePropertyType
geonode:bedrock_mempr_nwbc_2017_11_14,Bedrock Geology - Northwest BC,"BC digital geology (bedrock) contains geological maps for the province, clipped to Northwest BC. Full dataset available at http://www.empr.gov.bc.ca/Mining/Geoscience/BedrockMapping/Pages/BCGeoMap.aspx. Published by the BC Ministry of Energy, Mines, and Petroleum Resources.

Version: November 14, 2017",EPSG:3005,,"the_geom, gid, upid, area_m2, strat_unit, era, period, strat_age, strat_name, gp_suite, fm_lithodm, mem_phase, rock_class, rock_type, rk_char, unit_desc, age_max, age_min, belt, terrane, basin, basin_age, project, src_url, src_ref_s, map_comp, edit_date, pub_org, bedrock_mempr_nwbc_2017_11_14",gml:MultiSurfacePropertyType
geonode:BiiWeniiKwa_watershed_boundary,BiiWeniiKwa_watershed_boundary,No abstract provided,EPSG:3005,,"fid_1, the_geom, fid, AREA_HA, BiiWeniiKwa_watershed_boundary",gml:MultiSurfacePropertyType
