reach_name,reach_name_corrected,reach_drm,segmented_stream_id,reach_length,reach_utm_zone,reach_easting,reach_northing,reach_notes
Bulkley 1,Bulkley 1,164920,360873822.2,,9,646180,6031250,
Bulkley 2,Bulkley 2,175539.68,360873822.2,,9,651950,6031050,
Bulkley 3,Bulkley 3,,,9510,9,662680,6040170,
Bulkley 4,Bulkley 4,,,15135,9,666500,6043880,
McQuarrie 1,McQuarrie 2,,,1644,9,663825,6045500,
McQuarrie 2,McQuarrie 3,,,8000,9,658070,6047725,
McQuarrie 3,McQuarrie 4,,,,9,656565,6048120,
Barren 1,Barren 1,,,426,,,,
Barren 2,Barren 2,,,3837,,,,
Aitken 1,Aitken 2,,,1800,9,661800,6035895,
Aitken 2,Aitken 3,,,2100,9,662800,6034460,
Aitken 3,Aitken 4,,,,9,666985,6032060,
Johnny David 1,Johnny David 2,,,1900,9,669830,6045210,
Johnny David 2,Johnny David 3,,,,9,667950,6047550,
Buck 1,Buck 2,,,,9,653800,6029100,
Buck 2,Buck 3,,,,9,655220,6024875,
Buck 3,Buck 4,,,,9,654250,6022250,
Buck 4,Buck 5,,,,9,653150,6019100,
Buck 5,Buck 6,,,,9,654450,6013700,
Buck 6,Buck 7,,,,9,656580,6010480,
Buck 7,Buck 8,,,,9,659650,6007700,
Buck 8,Buck 9,,,,9,662900,6007200,
Buck 9,Buck 10,,,,9,666900,6006820,
Buck 10,Buck 11,,,1320,9,673775,6005470,
Buck 11,Buck 12,,,,,,,Appears to be error in spreadsheet
Richfield 1,Richfield 2,,,,9,672375,6046900,
Richfield 2,Richfield 3,,,,9,674400,6047939,
Richfield 3,Richfield 4,,,,9,674450,6049220,
Richfield 4,Richfield 5,,,,9,674875,6049590,
Robert Hatch 1,Robert Hatch 2,,,,9,669825,6047800,
Robert Hatch 2,Robert Hatch 3,,,,,,,
Klo 1,Klo 2,,,,9,668900,6008580,
Klo 2,Klo 3,,,,9,667300,6011200,
