SubBasin,Creek,Reach,PrescriptionNumber,RelatedRiparianPrescription,Category,Location,UTM,LandTenure,ImpactDescription,Goals,MasterPlanObjectives,DescriptionOfProposedWorks,TechnicalReferences
Richfield,Richfield,1,1,RIC007,2,"0+850 metres upstream from mouth, UTM 9.6044150.672380, Highway 16crossing",9.6044150.672380,"Private, highway right-of-way","Channelizing on both banks with rip-rap to bankfull height, twopipe-arch culverts, one impassable at most flows, both impassable at low flows.",To complex habitat and dissipate hydraulic energy. To provide access upstreamto juvenile salmonids during the summer low-flow period.,"1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation   between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.                                      Appendix G-1",NA,NA
Richfield,Richfield,1,2,none,1,0 to 0+390 metres and 1+050 to1+923 metres upstream from the mouth,NA,"Crown (within bankfull width), private land on both banks throughoutprescription area",Extensive point and mid-channel bars due to upstream sources ofsediment and bedload.,To stabilize aggraded areas which will continue to promote channel instability despiteupstream restoration efforts for some time if not actively restored. This step is not to becarried out until all other restoration work in the reach is complete.,6) Stabilize extensive bars and promote channel narrowing and deepening where feasible   and when upstream sources of disturbance have been alleviated.                                       Appendix G-4,NA,NA
Richfield,Richfield,1,3,RIC011,1,"2+478 metres upstream from the mouth, UTM 9.6045100.672300",9.6045100.672300,Private,"Rotational slump on right valley wall, sand and clay slump blocksliding on a sandy stratum. Below cleared and grazed land. Cattle use of several bencheson the face is probably exacerbating the problem.",NA,NA,NA,NA
Byman,Byman,1,NA,NA,1,"2+045 metres, 2+421 metres, and 2+625 metres upstream from the mouth onthe (downstream) right bank.",NA,PrivatePrescription Photo: One of two large slides on the right valley wall in the reach(location = 2+045m). Photo taken looking upstream.,Constant diverting of the creek away from the alluvial fan andconfining it to the valley upstream has lead to significant slope instability in two areas.,NA,NA,NA,NA
Byman,Byman,1,NA,NA,2,1+030 to 1+660 metres upstream from the mouth. Left and right banks. UTM9.6044300.666280 to 9.6044350.666910,NA,Private,"Diversion of the creek using a long straight dyke (circa 1948) awayfrom the Bulkley River floodplain and West to connect with Perow Creek. This hascaused extensive degradation and channel feature homogenization. Combined withextensive cattle grazing and the removal of upstream LWD, this has severely damagedfish habitat in this section.","To complex habitat and dissipate hydraulic energy. To provide increasedquantity and quality of summer rearing habitat for juvenile salmonids, particularly cohoand chinook salmon.                                      Appendix G-11",NA,NA,NA
McQuarrie,McQuarrie,1,1,MCQ8,1,0+900 metres upstream from the mouth. UTM 9.6044350.663900,9.6044350.663900,Private,"Sediment delivery from a rotational slump of fine-texturedmaterials. Impact vectors are thought to be cattle trampling/grazing and removal ofoverstory/shrub vegetation at the top of the slope altering surface and subsurface drainagepatterns in the slope, and removing the stabilizing and strengthening effect of plant roots.",To mitigate the delivery of sediment downstream by continued mass movementof this slope.,5) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite                                      Appendix G-13,NA,NA
McQuarrie,McQuarrie,1,2,MCQ1 and 2,2,"0 to 0+420 metres upstream from the mouth, both banks. UTM",NA,"Private, CNR and highway right-of-ways",Channelizing on both banks with rip-rap to bankfull heighteliminating riparian/floodplain function and creating homogeneous riffle/glide habitat.,To complex habitat and dissipate hydraulic energy.,"2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation   between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.","• Refer to works designed for Richfield Creek reach 1 (impact prescription #1), Byman  Reach 1 (impact prescription #2) and Emerson Creek reach #1.(impact prescription  #1) for concepts. With an interval of 6-7 channel widths between structures (60-70  metres), there will a total of 6 riffle, weir, or groyne structures required. Average  riffle length should be based on maintaining a 10% (10:1) slope on the riffle face.  Material sizing should be approximately the average D (27 cm) times a safety factor of  1.5. This would yield materials sizes in the vicinity of 40cm (on the b-axis) diameter.","• Newbury et al., 1997• Soto, 1997• Donat, 1995• Newbury and Gaboury, 1993"
McQuarrie,McQuarrie,3,1,MCQ19,2,1+828 metres upstream from reach break. UTM 9.6048080.656500. MichelleBay FSR crossing.,9.6048080.656500,Crown,"Undersized culvert is a barrier to upstream fish passage at lowflows, and is undersized for flood flows in the reach, causing fill slope erosion at the roadcrossing, and channel disturbance downstream.","To reestablish upstream fish access during summer low-flow periods, and tomitigate downstream sources of channel disturbance due to flow concentration andsubsequent velocity increase.",1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been                                      Appendix G-16,NA,NA
Barren,Barren,1,1,BAR003,2,0 to 0+270 metres upstream from mouth. UTM 9.6038760.660650 to9.6038850.660450. Upstream end bounded by the Highway 16 crossing,9.6038760.660650,Private,"Upstream sediment sources causing extensive aggradation of finesandy materials in this area, coupled with extensive cattle grazing and bank compaction.",Reestablish a single channel thread and provide access to oxbow pond adjacentto the channel.,"1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation                                      Appendix G-20",NA,NA
Barren,Barren,2,2,BAR008,1,"0+275 metres upstream of reach 1/2 break, UTM 9.6037900.660350",9.6037900.660350,Private,Slumping hillside below land clearing combined with toe erosioncaused by a log jam (lateral movement of thalweg),Add lifespan to natural toe armouring and restore ground and vegetation cover tomitigate surface erosion.,5) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite                                      Appendix G-23,NA,NA
Barren,Barren,2,3,N/A,1,1+050 metres upstream from reach break. UTM 9.6038100.660100 to6038300.660020.,9.6038100.660100,Private,"Landowner has diverted creek away from their powerline (fromwhich all riparian vegetation was removed), and straight into the forest. This diversion isa huge source of sediment as indicated by field observations. This is only one of severaldiversions by the landowner to straighten the channel in the vicinity.",NA,NA,NA,NA
Barren,Barren,2,4,BAR017,2,2+300 metres upstream from reach break. UTM 9.6039000.659600. MichelleBay FSR crossing.,9.6039000.659600,Private/ MOF and BC Hydro right-of-way,"Poor culvert installation at Michelle Bay FSR is a barrier toupstream fish passage by salmonids. It is also highly undersized, and has caused a greatedeal of channel disturbance above it. Backwatering during floods has led to scouring ofunvegetated banks at the powerline and increased toe erosion of a slope upstream. Thissediment is aggrading upstream and being delivered downstream.","To restore access to juvenile and adult salmonids, particularly coho salmon andsteelhead trout and to restore channel damage once the culvert has been replaced.                                      Appendix G-28",NA,NA,NA
Aitken,Aitken,3,1,AIT25,1,"1+226 metres upstream from the reach break, UTM 9.6034200.663300",9.6034200.663300,Private,"Surface compaction, loss of vegetation leading to gully failure fromupslope cutblock (see figure 181).",To rehabilitate slide and mitigate surface erosion from exposed face.,1) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance.,• works are outlined in riparian prescription,"• Donat, 1995• Chatwin et. al, 1994"
Aitken,Aitken,NA,NA,NA,1,"1+560 to 1+705 metres, 1+800 to 2+095 metres, 2+649 to 2+829 metres",NA,Private,"Riparian forest had undergone extensive clearcutting in the 1970’sto the streambanks and is not naturally regenerating, floodplain function is poor, and hashigh rates of lateral movement.","To restore forest cover in the riparian zone and thus aid in restoring bankstability, LWD sources, and stream shading.",1) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance.                                      Appendix G-34,NA,NA
Aitken,Aitken,NA,4,AIT37,1,3+723 metres upstream from reach break. UTM 9.6037900.660350,9.6037900.660350,Private,Slope failure related to concentration of surface water ontounstable slope above creek.,"To divert and slow surface drainage from this area, and to rehabilitate the slidesurface to mitigate surface erosion and sediment delivery to the creek.",1) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance.Description of Proposed Works (see figure 182):• outlined in riparian prescriptions                                      Appendix G-36,NA,NA
Buck,Klo,2,1,KLO21 and 22,1,"2+400 metres and 2+750 metres upstream from the reach break. Belowcutblock 93L.028, FLA 16827-CP314-02 (fprest cover map opening #10).",NA,Crown,Forest harvesting to lip of slope and gully headwalls decreasingwind resistance and causing increased water load in gullies. A great deal of windthrow atblock boundaries is suspected to have been responsible for several small gully failuresand partial gully failures. The effects of this problem will likely worsen as root networkscontinue to decay after harvesting.,To prevent further slope instability prior to major failures occurring,1) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability                                      Appendix G-38,NA,NA
Buck,Upper Buck,NA,1,UB8,2,FSR 2417 crossing of unnamed tributary to Buck Creek at upstream end ofstudy area. UTM 9.6003100.678400,9.6003100.678400,Crown,"Undesized and perched culvert is blocking upstream access torainbow trout, and causing bank erosion and aggradation downstream by increasing watervelocities and stream power.",To restore fish passage and mitigate channel impacts.,1) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability2) Reestablish upstream access to areas which have been blocked for resident fish   passage by land-use activities                                      Appendix G-40,NA,NA
Buck,Buck,1,1,"BUC004,006 and 007",2,0+980 to 1+650,NA,Private (municipal),"Channelizing of both banks and diversion of creek away fromtownsite. Has lead to major habitat simplification, downstream sedimentation anderosion, and aggradation upstream and downstream, as well as loss of floodplain andriparian function within the channelized section.","To increase the spatial complexity of salmonid habitat and decrease streampower in this section, thereby mitigating impacts downstream.","1) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation   between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.                                      Appendix G-44",NA,NA
Buck,Buck,1,2,BUC010-012,2,0 metres to 0+980 metres,NA,"Private, municipal","Increased water velocities generated in the straight channelizedsection are leading to a gradual strightening of the channel pattern donwstream, asavulsions are slowly occurring. These will eventually lead to a straight channel all theway to the mouth.",Maintain channel morphology and prevent forthcoming avulsions.,"1) Not in master plan objectives.Description of Proposed Works (see figure 183):• Bank armouring of ouside meander banks at the edge of the bankfull width below the  existing channelized section to maintain channel morphology and prevent avulsions.  Energies are too high here to consider the use of organic materials, so large angular  rock structures to bankfull height are prescribed. All rock toe armouring should be  installed to below the deepest portion of the thalweg to prevent scouring and  undercutting of bank toes and therefore structure failure. The structures should be  appropriately engineered to withstand 1 in 50 to 1 in 100 year flood events. Structures  should not infringe on the bankfull width, but should be installed at either edge of the  bankfull width, allowing the channel to adjust its pattern somewhat to changes in  discharge.• Riparian prescriptions outline riparian restoration to be carried out in concert with this  prescription to restore stream shading and long-term LWD supply.Technical References:• WRP Technical Circular #9, Chapter 6• Donat, 1995                                      Appendix G-46",NA,"• WRP Technical Circular #9, Chapter 6• Donat, 1995"
Buck,Buck,2,1,N/A,2,1+700 metres upstream from the reach 1/2 break. UTM 9.6028000.653720,9.6028000.653720,"Private, lot 2094",Loss of sediment storage function at geomorphic notch point (logjams at canyon mouth) due to decreasing upstream LWD supply and an altered basinrunoff regime. This is leading to cumulative sediment impacts propogating downstreamand exacerbating impacts there.,Reestablish log jam in geomorphic notch point to store upstream sediment andLWD.,3) Reestablish sediment storage functions such as log jams in geomorphic notch points   where they are lacking. Maintain anadromous access through these areas in concert   with the former goal where applicable.                                      Appendix G-48,NA,NA
Buck,Buck,4,1,N/A,2,"5+350 metres upstream from the reach 3/4 break. UTM 9.6019120.652980.Nearest road access at Buck Flats road, approximately 500 metres downstream.",9.6019120.652980,"Private, lot 5205",Loss of sediment storage function at geomorphic notch point (logjams at canyon mouth) due to decreasing upstream LWD supply and an altered basinrunoff regime. This is leading to cumulative sediment impacts propogating downstreamand exacerbating impacts there.,Reestablish log jam in geomorphic notch point to store upstream sediment andLWD.,"III. Reestablish sediment storage functions such as log jams in geomorphic notch points    where they are lacking. Maintain anadromous access through these areas in concert    with the former goal where applicable.Description of Proposed Works (see figure 184):• Construction of two staggered lateral debris catchers to catch logs and create a full-  spanning log jam at the notch point. The downstream debris catchers will be  approximately 25-30 linear metres below the upstream catcher. A staggered  configuration on such a sharp bend in the creek will enhance the potential and  effectiveness of creating a full-spanning log jam. The lack of floodplain here will  minimize the probability of lateral movement compromising the integrity of the  works.• Construction will consist of a five log triangular configuration ballasted with cabled  boulders. Main logs are to be keyed into the bank. Suggested dimensions for logs are  50-60 cm dbh and 6 m lengths. Logs should be coniferous stock to maximize  longevity. Ballast requirements for each entire structure, based on single-log  calculations for ballast, are 5400 kg. One large boulder and four smaller boulders are  suggested. The largest boulder is to be cabled to the apex of the structure in the area  of greatest stress and loading. Smaller boulders are cabled to single logs throughout  the debris catcher to enhance the integrity of logs keyed into the bank. Suggested  specifications for the largest boulder are 1.1 metres b-axis diameter (2000 kg), and the  four smaller boulders are 0.8 metres diameter (850 kg) each.Technical References:• WRP Technical Circular #9, chapter 9• Streamlines (WRP technical bulletin) vol.3, no.2, pgs.17-18                                      Appendix G-50",NA,"• WRP Technical Circular #9, chapter 9• Streamlines (WRP technical bulletin) vol.3, no.2, pgs.17-18"
Bulkley,Bulkley River,1,1,BUL29 and BUL32,1,Site 1= 4+553 to 4+750 metres (UTM 9.6030100.648600) upstream from theBulkley/Morice confluence and Site 2= 5+940 to 6+080 metres (UTM9.6029800.649100) upstream from the Bulkley/Morice confluence. Both sites aredownslope from the Michelle Bay FSR.,9.6030100.648600,"Private, lots 2114 and 2116",Subsurface and surface runoff diversion and concentrationdownslope by the Michelle Bay FSR (both sites) and a section of the old highway (site 1)are causing extensive surface erosion and slumping of the valley walls. These sites arelarge sources of fine sediment in runoff and mass movements to the Bulkley River.,To stabilize slopes and mitigate fine sediment inputs from these sites to theriver.                                      Appendix G-52,NA,NA,NA
