SubBasin,Creek,Reach,PrescriptionNumber,RelatedRiparianPrescription,Category,Location,UTM,LandTenure,ImpactDescription
Richfield,Richfield,1,1,RIC007,2,"0+850 metres upstream from mouth, UTM 9.6044150.672380, Highway 16crossing",9.6044150.672380,"Private, highway right-of-way","Channelizing on both banks with rip-rap to bankfull height, twopipe-arch culverts, one impassable at most flows, both impassable at low flows."
Richfield,Richfield,1,2,none,1,0 to 0+390 metres and 1+050 to1+923 metres upstream from the mouth,NA,"Crown (within bankfull width), private land on both banks throughoutprescription area",Extensive point and mid-channel bars due to upstream sources ofsediment and bedload.
Richfield,Richfield,1,3,RIC011,1,"2+478 metres upstream from the mouth, UTM 9.6045100.672300",9.6045100.672300,Private,"Rotational slump on right valley wall, sand and clay slump blocksliding on a sandy stratum. Below cleared and grazed land. Cattle use of several bencheson the face is probably exacerbating the problem."
Byman,Byman,1,NA,NA,1,"2+045 metres, 2+421 metres, and 2+625 metres upstream from the mouth onthe (downstream) right bank.",NA,PrivatePrescription Photo: One of two large slides on the right valley wall in the reach(location = 2+045m). Photo taken looking upstream.,Constant diverting of the creek away from the alluvial fan andconfining it to the valley upstream has lead to significant slope instability in two areas.
Byman,Byman,1,NA,NA,2,1+030 to 1+660 metres upstream from the mouth. Left and right banks. UTM9.6044300.666280 to 9.6044350.666910,NA,Private,"Diversion of the creek using a long straight dyke (circa 1948) awayfrom the Bulkley River floodplain and West to connect with Perow Creek. This hascaused extensive degradation and channel feature homogenization. Combined withextensive cattle grazing and the removal of upstream LWD, this has severely damagedfish habitat in this section."
McQuarrie,McQuarrie,1,1,MCQ8,1,0+900 metres upstream from the mouth. UTM 9.6044350.663900,9.6044350.663900,Private,"Sediment delivery from a rotational slump of fine-texturedmaterials. Impact vectors are thought to be cattle trampling/grazing and removal ofoverstory/shrub vegetation at the top of the slope altering surface and subsurface drainagepatterns in the slope, and removing the stabilizing and strengthening effect of plant roots."
McQuarrie,McQuarrie,1,2,MCQ1 and 2,2,"0 to 0+420 metres upstream from the mouth, both banks. UTM",NA,"Private, CNR and highway right-of-ways",Channelizing on both banks with rip-rap to bankfull heighteliminating riparian/floodplain function and creating homogeneous riffle/glide habitat.
McQuarrie,McQuarrie,3,1,MCQ19,2,1+828 metres upstream from reach break. UTM 9.6048080.656500. MichelleBay FSR crossing.,9.6048080.656500,Crown,"Undersized culvert is a barrier to upstream fish passage at lowflows, and is undersized for flood flows in the reach, causing fill slope erosion at the roadcrossing, and channel disturbance downstream."
Barren,Barren,1,1,BAR003,2,0 to 0+270 metres upstream from mouth. UTM 9.6038760.660650 to9.6038850.660450. Upstream end bounded by the Highway 16 crossing,9.6038760.660650,Private,"Upstream sediment sources causing extensive aggradation of finesandy materials in this area, coupled with extensive cattle grazing and bank compaction."
Barren,Barren,2,2,BAR008,1,"0+275 metres upstream of reach 1/2 break, UTM 9.6037900.660350",9.6037900.660350,Private,Slumping hillside below land clearing combined with toe erosioncaused by a log jam (lateral movement of thalweg)
Barren,Barren,2,3,N/A,1,1+050 metres upstream from reach break. UTM 9.6038100.660100 to6038300.660020.,9.6038100.660100,Private,"Landowner has diverted creek away from their powerline (fromwhich all riparian vegetation was removed), and straight into the forest. This diversion isa huge source of sediment as indicated by field observations. This is only one of severaldiversions by the landowner to straighten the channel in the vicinity."
Barren,Barren,2,4,BAR017,2,2+300 metres upstream from reach break. UTM 9.6039000.659600. MichelleBay FSR crossing.,9.6039000.659600,Private/ MOF and BC Hydro right-of-way,"Poor culvert installation at Michelle Bay FSR is a barrier toupstream fish passage by salmonids. It is also highly undersized, and has caused a greatedeal of channel disturbance above it. Backwatering during floods has led to scouring ofunvegetated banks at the powerline and increased toe erosion of a slope upstream. Thissediment is aggrading upstream and being delivered downstream."
Aitken,Aitken,3,1,AIT25,1,"1+226 metres upstream from the reach break, UTM 9.6034200.663300",9.6034200.663300,Private,"Surface compaction, loss of vegetation leading to gully failure fromupslope cutblock (see figure 181)."
Aitken,Aitken,NA,NA,NA,1,"1+560 to 1+705 metres, 1+800 to 2+095 metres, 2+649 to 2+829 metres",NA,Private,"Riparian forest had undergone extensive clearcutting in the 1970’sto the streambanks and is not naturally regenerating, floodplain function is poor, and hashigh rates of lateral movement."
