sub_basin,creek,reach,prescription_number,related_riparian_prescription,category,location,utm_zone,utm_easting,utm_northing,land_tenure,impact_description,goals,master_plan_objectives,description_of_proposed_works,technical_references,survey_and_design_work_required,survey_and_design_cost_estimate,estimated_cost_of_implementing_works,approvals_required
Richfield,Richfield,1,1,RIC007,2,"0+850 metres upstream from mouth, UTM 9.6044150.672380, Highway 16crossing",9,6044150,672380,"Private, highway right-of-way","Channelizing on both banks with rip-rap to bankfull height, twopipe-arch culverts, one impassable at most flows, both impassable at low flows.",To complex habitat and dissipate hydraulic energy. To provide access upstreamto juvenile salmonids during the summer low-flow period.,"1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation   between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.                                      ","• Build three riffle structures (one above culvert, two below) to initiate vertical  variability in hydraulic energy and the sorting of stream substrate to form a riffle:pool  morphology. The first riffle below the culvert will have a higher crest and length  (maintaining the same grade on the face of the riffle) to backwater the culvert at  summer low flows. Initial design specifications are presented in the conceptual  prescription drawing. Other design data relating to D, tractive force, and estimated  bankfull discharge are presented in the reach impact and restoration diagnostics.• Clean rock and concrete debris from in front of both culverts and in their plunge pools  which will obstruct access and/or interfere with pool formation.• Plant the rip-rap with live cuttings of deciduous trees and shrubs (see riparian  prescription)","• Newbury et al., 1997• Soto, 1997• Donat, 1995• Newbury and Gaboury, 1993",NA,NA,NA,NA
Richfield,Richfield,1,2,NA,1,0 to 0+390 metres and 1+050 to1+923 metres upstream from the mouth,9,671988,6043312,"Crown (within bankfull width), private land on both banks throughoutprescription area",Extensive point and mid-channel bars due to upstream sources ofsediment and bedload.,To stabilize aggraded areas which will continue to promote channel instability despiteupstream restoration efforts for some time if not actively restored. This step is not to becarried out until all other restoration work in the reach is complete.,6) Stabilize extensive bars and promote channel narrowing and deepening where feasible   and when upstream sources of disturbance have been alleviated.                                       ,"• Place several large to extra-large size-class LWD with rootwads facing the current in a  cross-wise pattern armouring the top of the bar. Bury the top half of these trees in the  streambed. This configuration will promote sedimentation downstream, and an  excellent environment for the seed and whips of shrubs and trees to colonize the tail  end of the bar. LWD is to be transported from a road site and moved into place with  the aid of a horse logging company and a crew to assist in fine-tuning the placements  of logs.• In the voids between crossed logs, whole willow root-balls (select a nearby gravel bar  colonizing species such as coyote willow) are to be planted in the substrate following  one bankfull flood’s sedimentation. This will serve to speed the stabilization of the  bar.","• Soto et. al., 1997b",NA,NA,NA,NA
Richfield,Richfield,1,3,RIC011,1,"2+478 metres upstream from the mouth, UTM 9.6045100.672300",9,6045100,672300,Private,"Rotational slump on right valley wall, sand and clay slump blocksliding on a sandy stratum. Below cleared and grazed land. Cattle use of several bencheson the face is probably exacerbating the problem.",To mitigate downstream sediment delivery from this site. Channel disturbanceand land use is minimal in reach 2 upstream.,"5) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance, and/or when passive restoration needs to be   integrated with active restoration.","• Armour the toe of this slope (approximately 50 m long) with large cobble size class  rip-rap and carry out the related riparian prescription. Toe armouring should be  placed to a level below the existing thalweg to ensure that works are not undercut by  scour. Access should be arranged with the landowner, for which there is a secondary  road to within 200 metres of the site. A chainsaw winch could be used to haul the  rock the remaining distance. Alternately, a hoe and driver with low impact tires could  be employed to do this, as well as a team of draft horses from a horse-logging outfit.","• Donat, 1995• Chatwin et al., 1994",NA,NA,NA,NA
Byman,Byman,1,1,BYM15 and BYM17,1,"2+045 metres, 2+421 metres, and 2+625 metres upstream from the mouth onthe (downstream) right bank.",9,667151,6044592,PrivatePrescription Photo: One of two large slides on the right valley wall in the reach(location = 2+045m). Photo taken looking upstream.,Constant diverting of the creek away from the alluvial fan andconfining it to the valley upstream has lead to significant slope instability in two areas.,To mitigate downstream sediment delivery from this site.,"5) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance, and/or when passive restoration needs to be   integrated with active restoration.",• Armour toe of slope with several rootwads cabled together and into the substrate using  duckbill anchors. Construct an upstream repelling groyne from angular rock to  redirect flow away from the toe of the slope toward the middle of the channel (but not  towards opposite banks) to reduce toe scour. Carry out riparian prescription where  soil conditions allow (much of the lower slope consists of “hardpan” clays),"• WRP Technical Circular #9, Chapter 6• Donat, 1995• Chatwin et al., 1994",NA,NA,NA,NA
Byman,Byman,1,2,BYM8 to BYM10,2,1+030 to 1+660 metres upstream from the mouth. Left and right banks. UTM9.6044300.666280 to 9.6044350.666910,9,666280,6044300,Private,"Diversion of the creek using a long straight dyke (circa 1948) awayfrom the Bulkley River floodplain and West to connect with Perow Creek. This hascaused extensive degradation and channel feature homogenization. Combined withextensive cattle grazing and the removal of upstream LWD, this has severely damagedfish habitat in this section.","To complex habitat and dissipate hydraulic energy. To provide increasedquantity and quality of summer rearing habitat for juvenile salmonids, particularly cohoand chinook salmon.                                      ","1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation   between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.",• In concert with riparian prescriptions to restore floodplain and bank stability  functions. Create a series of nine upstream v-wier LWD structures at 70 metre  intervals. Design specifications and configuration are indicated in the conceptual  drawing. The first wier will serve to backwater the highway culvert and increase  access to and from upstream reaches during the summer low-flow period.,"• WRP Technical Circular #9, Chapter 8• Donat, 1995• Newbury and Gaboury, 1993",NA,NA,NA,NA
McQuarrie,McQuarrie,1,1,MCQ8,1,0+900 metres upstream from the mouth. UTM 9.6044350.663900,9,6044350,663900,Private,"Sediment delivery from a rotational slump of fine-texturedmaterials. Impact vectors are thought to be cattle trampling/grazing and removal ofoverstory/shrub vegetation at the top of the slope altering surface and subsurface drainagepatterns in the slope, and removing the stabilizing and strengthening effect of plant roots.",To mitigate the delivery of sediment downstream by continued mass movementof this slope.,"5) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite                                        upstream sources of disturbance, and/or when passive restoration needs to be  integrated with active restoration.","• In concert with riparian prescription, to armour the toe of the slope with angular rock  to form a rock toe key. Depth of this key should be to a depth just beyond that of the  deepest portion of the thalweg in cross-section to prevent scouring of rock away from  the toe. Create a hook groyne with available materials to dissipate energy moving  downstream from the site.","• WRP Technical Circular #9, Chapter 6• Donat, 1995• Chatwin et al., 1994",NA,NA,NA,NA
McQuarrie,McQuarrie,1,2,MCQ1 and 2,2,"0 to 0+420 metres upstream from the mouth, both banks. UTM",9,664220,6043613,"Private, CNR and highway right-of-ways",Channelizing on both banks with rip-rap to bankfull heighteliminating riparian/floodplain function and creating homogeneous riffle/glide habitat.,To complex habitat and dissipate hydraulic energy.,"2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation   between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.","• Refer to works designed for Richfield Creek reach 1 (impact prescription #1), Byman  Reach 1 (impact prescription #2) and Emerson Creek reach #1.(impact prescription  #1) for concepts. With an interval of 6-7 channel widths between structures (60-70  metres), there will a total of 6 riffle, weir, or groyne structures required. Average  riffle length should be based on maintaining a 10% (10:1) slope on the riffle face.  Material sizing should be approximately the average D (27 cm) times a safety factor of  1.5. This would yield materials sizes in the vicinity of 40cm (on the b-axis) diameter.","• Newbury et al., 1997• Soto, 1997• Donat, 1995• Newbury and Gaboury, 1993",NA,NA,NA,NA
McQuarrie,McQuarrie,3,1,MCQ19,2,1+828 metres upstream from reach break. UTM 9.6048080.656500. MichelleBay FSR crossing.,9,6048080,656500,Crown,"Undersized culvert is a barrier to upstream fish passage at lowflows, and is undersized for flood flows in the reach, causing fill slope erosion at the roadcrossing, and channel disturbance downstream.","To reestablish upstream fish access during summer low-flow periods, and tomitigate downstream sources of channel disturbance due to flow concentration andsubsequent velocity increase.",1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been                                         removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance,"• Replace the existing culvert with a bridge. Bridge designed to withstand 1 in 100 year  flood magnitude. Design will incorporate regrading the channel as a series of riffle  steps to ensure fish passage and to avoid further channel disturbance by locally  increasing channel gradient. Channel below bridge will be excavated to old channel  grade prior to culvert installation. Design specifications are included in conceptual  drawing.• Bar stabilization of large sediment/bedload wedge upstream of existing culvert, as  outlined in riparian prescription.• Riparian planting as outlined in riparian prescription.","• Soto, 1997a• WRP Technical Circular #9, Chapter 5Survey and Design Work Required:• Engineering survey to create plan/profile drawings and proper design specifications  for bridge and installation features.• Creation of field report summarizing detailed cost estimate, engineering drawings and  design specifications and workplan.• Silviculture Prescription formulation, site visit with RPF, and RPF sign-off.Survey and Design Cost Estimate:• Engineering Survey Fees=Professional engineer for 6 days@$600/day=$3600, two  surveyors for one day@$300/day=$600 (Total=$4200)• Engineering Survey Expenses= Equipment and vehicle rental=$250, per diems=$150,  travel and accomodation=$3000, report materials=$500, project management and  administration=$500 (Total=$4400)• Silviculture Prescription= Ecologist for 2 days@$300/day, RPF for 1  day@$500/day+$500 expenses (Total=$1600)• Total cost estimate= $10 200Estimated Cost of Implementing Works:• Culvert Replacement with Bridge=$64 000• Creation of stonelines to facilitate fish passage=$30000/km x 0.1 km=$3000• Armouring and stabilizing upstream bar= $5800 (acquiring/shipping LWD@$1000,  moving/placing LWD on bar @$2200 (horselogger fees + labour and expenses),  planting bar and riparian prescription area @$2600)• Total cost estimate= $73 000Approvals Required:• Federal Fisheries Act (MELP fisheries branch)• BC Water Act, section 9 notification and approval","• Engineering survey to create plan/profile drawings and proper design specifications  for bridge and installation features.• Creation of field report summarizing detailed cost estimate, engineering drawings and  design specifications and workplan.• Silviculture Prescription formulation, site visit with RPF, and RPF sign-off.","• Engineering Survey Fees=Professional engineer for 6 days@$600/day=$3600, two  surveyors for one day@$300/day=$600 (Total=$4200)• Engineering Survey Expenses= Equipment and vehicle rental=$250, per diems=$150,  travel and accomodation=$3000, report materials=$500, project management and  administration=$500 (Total=$4400)• Silviculture Prescription= Ecologist for 2 days@$300/day, RPF for 1  day@$500/day+$500 expenses (Total=$1600)• Total cost estimate= $10 200","• Culvert Replacement with Bridge=$64 000• Creation of stonelines to facilitate fish passage=$30000/km x 0.1 km=$3000• Armouring and stabilizing upstream bar= $5800 (acquiring/shipping LWD@$1000,  moving/placing LWD on bar @$2200 (horselogger fees + labour and expenses),  planting bar and riparian prescription area @$2600)• Total cost estimate= $73 000","• Federal Fisheries Act (MELP fisheries branch)• BC Water Act, section 9 notification and approval"
Barren,Barren,1,1,BAR003,2,0 to 0+270 metres upstream from mouth. UTM 9.6038760.660650 to9.6038850.660450. Upstream end bounded by the Highway 16 crossing,9,6038760,660650,Private,"Upstream sediment sources causing extensive aggradation of finesandy materials in this area, coupled with extensive cattle grazing and bank compaction.",Reestablish a single channel thread and provide access to oxbow pond adjacentto the channel.,"1) Reestablish upstream access to resident and anadromous fish species where barriers   have been created by land-use.2) Reestablish spatial habitat diversity and quality, and hydraulic energy dissipation in   areas that have been channelized. A long-term goal which requires cooperation                                         between private landowners and regulatory agencies is the de-channelizing of these   areas and their reconnection to normal floodplain functioning, which is beyond the   scope of this project.3) Passively restore riparian areas wherever possible with landowner cooperation to limit   land-use to areas outside of the riparian zone.4) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite   upstream sources of disturbance, and/or when passive restoration needs to be   integrated with active restoration.5) Stabilize extensive bars and promote channel narrowing and deepening where feasible   and when upstream sources of disturbance have been alleviated.","• Once upstream sources of sediment have been mitigated, excavate new channel in a  meandering pattern with channel geometry based on average bankfull width (see  conceptual prescription drawing). Armour meander bends with angular rock down to  below thalweg depth to prevent scour of toe and collapse of bank. Aim to restore  channel gradient to that of reach 2 upstream. Restoring channel pattern and gradient  should restore a riffle:pool pattern without expensive construction of channel features.  Effectiveness monitoring should identify whether LWD additions are needed.• Carry out off-channel assessment of oxbow pond to determine feasibility for  restoration (groundwater yield and water quality).• Restore access to oxbow pond by excavating and armouring a channel which connects  with Barren Creek with a gradient suitable to maintaining design water levels in the  pond and access between the two water bodies. Build a berm to protect the oxbow  during floods from the Bulkley River and Barren Creek. This could probably be  constructed from excavated fill from the pond.• Carry out riparian prescriptions as outlined.","• Newbury and Gaboury, 1993• WRP Technical Circular #9, Chapters 6, 7, and 12",NA,NA,NA,NA
Barren,Barren,2,2,BAR008,1,"0+275 metres upstream of reach 1/2 break, UTM 9.6037900.660350",9,6037900,660350,Private,Slumping hillside below land clearing combined with toe erosioncaused by a log jam (lateral movement of thalweg),Add lifespan to natural toe armouring and restore ground and vegetation cover tomitigate surface erosion.,"5) Stabilize upslope and riparian sources of sediment and prevent further occurrence of   slope and bank instability when and if upstream sources of disturbance have been   removed and/or where restoration will have a high probablity of success despite                                        upstream sources of disturbance, and/or when passive restoration needs to be  integrated with active restoration.",• See riparian prescription in appendix F,"• Chatwin et al., 1994• Donat, 1995",NA,NA,NA,NA
