Resource,URL,Details
bcfishpass,https://github.com/smnorris/bcfishpass,"Build and maintain an aquatic connectivity / fish passage database for British Columbia to track known barriers to fish passage, model potential barriers to fish passage, model passability/accessibility of streams based on species swimming ability, model streams with potential for spawning and rearing activity, etc"
fpr,https://github.com/NewGraphEnvironment/fpr,"Fish Passage Reporting functions for British Columbia.  R package used for cleaning, transforming and extracting data to build interactive reports related to fish passage planning including fish passage assessments and habitat confirmation assessments at road-stream crossings.  In"
dff-2022,https://github.com/NewGraphEnvironment/dff-2022,"Building digital field forms for field work in British Columbia, mobile QGIS projects and processing data collected using standardized provincial data layer and data collection templates. Utilizes open source software including R, python, bash and QGIS and others."
rfp,https://github.com/NewGraphEnvironment/rfp,Reproducible Field Projects for British Columbia. R package to standardize and track the creation of collaborative GIS projects for aquatic restoration/conservation planning and field work. Under development incorporating many dff-2022 scripts into R package functions.
Restoration Framework,https://github.com/NewGraphEnvironment/restoration_framework,Public repository for development of and linking to restoration / conservation planning tools and concepts.  
Restoring Fish Passage in the Peace Region 2023,https://newgraphenvironment.github.io/fish_passage_peace_2023_reporting/,"REPORT NOT YET LIVE (20240220). 
Interactive reporting for 2023 fish passage restoration planning activities in the Parsnip, Carp and Crooked Watershed Groups north of Prince George in the Peace Region. Designs completed for two crossings in the Table River watershed (Parsnip River watershed group) and materials purchased for remediation. Phase 1 and Phase 2 assessments in Carp and Crooked watershed groups. Fish sampling with PIT tagging conducted in Parsnip River watershed group. Aerial imagery collected by drone. Repository located at https://github.com/NewGraphEnvironment/fish_passage_peace_2023_reporting"
Restoring Fish Passage in the Peace Region 2022,https://newgraphenvironment.github.io/fish_passage_peace_2022_reporting/,"Interactive reporting for 2022 fish passage restoration planning activities in the Parsnip, Carp and Crooked Watershed Groups north of Prince George in the Peace Region. Includes interactive planning dashboard. Crossing in Missinka watershed replaced and design done for site on Chuchinka-Arctic FSR. Fish sampling with PIT tagging conducted. Aerial imagery collected by drone."
Restoring Fish Passage in the Peace Region 2021,https://newgraphenvironment.github.io/fish_passage_parsnip_2021_reporting/,Interactive reporting for 2021 fish passage restoration planning activities in the Parsnip Watershed Group north of Prince George in the Peace Region. Includes interactive planning dashboard and .
Parsnip_Fish_Passage,https://newgraphenvironment.github.io/Parsnip_Fish_Passage/,Interactive reporting for 2019 fish confirmation assessments in the Parsnip Watershed Group north of Prince George in the Peace Region. Fish sampling conducted. Aerial imagery collected by drone.
Skeena Fish Passage Restoration Planning 2023,https://newgraphenvironment.github.io/fish_passage_skeena_2023_reporting,"REPORT NOT YET LIVE (20240220). 
Interactive reporting for Fish passage and habitat confirmation assessments in the Bulkey River, Morice River, Zymoetz River and Kispiox River watershed groups. Fish sampling conducted. Repository located at https://github.com/NewGraphEnvironment/fish_passage_skeena_2023_reporting"
